English Text,Modern Standard Arabic (MSA) Translation,Dialect Translation,Context and Rating,Dialect Notes,In-Game Context
"As-salaam-alaikum, digital explorer! Create immersive VR tours of Riyadh's historical sites. Bring ancient Dir'iyah to life, let users experience the bustling souks of old Riyadh, and showcase the city's rapid modernization. Make Saudi history accessible to the world through cutting-edge technology!",السلام عليكم، أيها المستكشف الرقمي! أنشئ جولات افتراضية غامرة للمواقع التاريخية في الرياض. أحيِ الدرعية القديمة، واسمح للمستخدمين بتجربة أسواق الرياض القديمة المزدحمة، واعرض التحديث السريع للمدينة. اجعل التاريخ السعودي في متناول العالم من خلال التكنولوجيا المتطورة!,سلام عليكم، يا المستكشف الرقمي! سو جولات واقع افتراضي للأماكن التاريخية في الرياض. خلي الدرعية القديمة تصير حية، وخل الناس يجربون أسواق الرياض القديمة الزحمة، وورّيهم تطور المدينة السريع. خل تاريخ السعودية في متناول العالم عن طريق التقنية المتطورة!,This scenario uses VR technology to showcase Saudi heritage.,"""سو"" for create, ""خلي"" for make, ""ورّيهم"" for show them",Player creating VR tours of Riyadh's historical and modern sites.
"Dive into history, marine explorer! Develop a simulator for underwater archaeology in the Red Sea. Recreate ancient shipwrecks, hidden port ruins, and long-lost treasures. Train future archaeologists in excavation techniques and artifact preservation. Uncover the secrets of Saudi Arabia's maritime past!",اغطس في التاريخ، أيها المستكشف البحري! طور محاكيًا للآثار تحت الماء في البحر الأحمر. أعد إنشاء حطام السفن القديمة، وأطلال الموانئ المخفية، والكنوز المفقودة منذ زمن طويل. درب علماء الآثار المستقبليين على تقنيات التنقيب والحفاظ على القطع الأثرية. اكشف أسرار الماضي البحري للمملكة العربية السعودية!,غطس في التاريخ، يا المستكشف البحري! طور برنامج محاكاة للآثار تحت المية في البحر الأحمر. سوي من جديد حطام السفن القديمة، وخرابات الموانئ المخبية، والكنوز الضايعة من زمان. درب علماء الآثار المستقبليين على طرق التنقيب والحفاظ على القطع الأثرية. اكشف أسرار تاريخ السعودية البحري!,This scenario focuses on underwater archaeology in the Red Sea.,"""المية"" for water, ""سوي"" for recreate, ""خرابات"" for ruins",Player developing an underwater archaeology simulator for the Red Sea.
"Ahlan, tech-savvy oilman! Manage a next-generation smart oil field in the Eastern Province. Utilize IoT sensors, AI analytics, and robotic maintenance systems. Optimize production while minimizing environmental impact. Balance traditional industry knowledge with cutting-edge technology to lead Saudi oil into the future!",أهلاً، يا رجل النفط التقني! أدر حقل نفط ذكي من الجيل القادم في المنطقة الشرقية. استخدم أجهزة استشعار إنترنت الأشياء، وتحليلات الذكاء الاصطناعي، وأنظمة الصيانة الروبوتية. حسّن الإنتاج مع تقليل الأثر البيئي. وازن بين المعرفة التقليدية للصناعة والتكنولوجيا المتطورة لقيادة النفط السعودي نحو المستقبل!,هلا، يا رجل النفط التقني! دير حقل نفط ذكي من الجيل الياي في المنطقة الشرقية. استخدم حساسات إنترنت الأشياء، وتحليلات الذكاء الاصطناعي، وأنظمة الصيانة الآلية. حسّن الإنتاج وقلل الأثر البيئي. وازن بين المعرفة التقليدية للصناعة والتقنية المتطورة عشان تقود النفط السعودي للمستقبل!,This scenario combines traditional oil industry with modern technology.,"""دير"" for manage, ""الياي"" for next, ""حساسات"" for sensors",Player managing a high-tech oil field in the Eastern Province.
"Marhaba, digital craftsperson! Launch an e-commerce platform showcasing Asir's traditional crafts to the world. Connect local artisans with global markets, digitize ancient designs, and tell the stories behind each handmade piece. Preserve cultural heritage while embracing the digital economy!",مرحبا، أيها الحرفي الرقمي! أطلق منصة للتجارة الإلكترونية تعرض الحرف التقليدية في عسير للعالم. اربط الحرفيين المحليين بالأسواق العالمية، ورقمن التصاميم القديمة، واحكِ القصص وراء كل قطعة يدوية. حافظ على التراث الثقافي مع تبني الاقتصاد الرقمي!,مرحبا، يا الحرفي الرقمي! أطلق منصة تجارة إلكترونية تعرض حرف عسير التقليدية للعالم. اربط الحرفيين المحليين بالأسواق العالمية، وحول التصاميم القديمة للرقمية، واحكي قصص كل قطعة مصنوعة باليد. حافظ على التراث وانت تدخل في الاقتصاد الرقمي!,This scenario blends traditional crafts with modern e-commerce.,"""حول"" for digitize, ""احكي"" for tell",Player developing an e-commerce platform for traditional Asiri crafts.
"Salaam, environmental architect! Lead a project to transform part of the Empty Quarter into a habitable oasis. Use cutting-edge technology to manage water resources, create sustainable ecosystems, and build climate-controlled habitats. Balance ecological impact with human needs. Turn the desert green!",سلام، يا مهندس البيئة! قُد مشروعًا لتحويل جزء من الربع الخالي إلى واحة صالحة للسكن. استخدم التكنولوجيا المتطورة لإدارة موارد المياه، وإنشاء نظم بيئية مستدامة، وبناء مساكن متحكم في مناخها. وازن بين الأثر البيئي واحتياجات الإنسان. حول الصحراء إلى مساحة خضراء!,سلام، يا مهندس البيئة! قود مشروع يحول جزء من الربع الخالي لواحة يعيش فيها الناس. استخدم أحدث التقنيات عشان تدير موارد المية، وتسوي أنظمة بيئية تدوم، وتبني بيوت متحكم في جوها. وازن بين تأثير البيئة واحتياجات الناس. خل الصحرا تصير خضرا!,This scenario explores futuristic desert transformation projects.,"""تسوي"" for create, ""جوها"" for climate, ""خل"" for make",Player managing a desert terraforming project in the Empty Quarter.
"As-salaam-alaikum, digital pilgrim assistant! Develop a holographic guide for Hajj and Umrah. Create interactive 3D models of holy sites, provide real-time translations, and offer step-by-step ritual instructions. Ensure accessibility for all pilgrims while maintaining the spiritual essence of the journey.",السلام عليكم، يا مساعد الحجاج الرقمي! طور دليلًا تجسيميًا للحج والعمرة. أنشئ نماذج ثلاثية الأبعاد تفاعلية للمواقع المقدسة، وقدم ترجمات فورية، واعرض تعليمات خطوة بخطوة للمناسك. اضمن سهولة الوصول لجميع الحجاج مع الحفاظ على الجوهر الروحي للرحلة.,سلام عليكم، يا مساعد الحجاج الرقمي! طور دليل تجسيمي للحج والعمرة. سوي نماذج ثلاثية الأبعاد تفاعلية للأماكن المقدسة، وقدم ترجمات على طول، واعرض تعليمات المناسك خطوة بخطوة. اضمن إن كل الحجاج يقدروا يستخدموه مع الحفاظ على روحانية الرحلة.,This scenario combines religious practice with advanced technology.,"""سوي"" for create, ""على طول"" for real-time, ""يقدروا"" for can",Player developing a holographic guide for Hajj and Umrah pilgrims.
"Marhaba, aquatic architect! Design a sustainable underwater city in the Arabian Gulf. Create pressure-resistant habitats, develop marine farming systems, and implement clean energy solutions. Integrate with marine ecosystems and oil infrastructure. Pioneer the future of oceanic living!",مرحبا، يا مهندس الحياة المائية! صمم مدينة تحت الماء مستدامة في الخليج العربي. أنشئ مساكن مقاومة للضغط، وطور أنظمة زراعة بحرية، ونفذ حلول الطاقة النظيفة. ادمجها مع النظم البيئية البحرية والبنية التحتية النفطية. كن رائدًا في مستقبل الحياة المحيطية!,مرحبتين، يا مهندس الحياة المائية! صمم مدينة تحت الماي مستدامة في الخليج العربي. سو بيوت تتحمل الضغط، وطور أنظمة زراعة بحرية، ونفذ حلول الطاقة النظيفة. ادمجها مع البيئة البحرية ومنشآت النفط. كون رائد في مستقبل العيشة في المحيط!,This scenario envisions futuristic underwater habitats.,"""ماي"" for water, ""سو"" for create, ""كون"" for be",Player designing and planning an underwater city in the Arabian Gulf.
"Yalla, tech-savvy farmer! Implement AI and IoT solutions to revolutionize agriculture in Asir's challenging terrain. Use drones for crop monitoring, develop smart irrigation systems, and create predictive models for crop yields. Blend traditional farming wisdom with cutting-edge technology!",يلا، أيها المزارع التقني! طبق حلول الذكاء الاصطناعي وإنترنت الأشياء لإحداث ثورة في الزراعة في تضاريس عسير الصعبة. استخدم الطائرات بدون طيار لمراقبة المحاصيل، وطور أنظمة ري ذكية، وأنشئ نماذج تنبؤية لإنتاج المحاصيل. امزج بين حكمة الزراعة التقليدية والتكنولوجيا المتطورة!,يلا، يا المزارع التقني! طبق حلول الذكاء الاصطناعي والإنترنت عشان تطور الزراعة في أراضي عسير الصعبة. استخدم الدرونات لمراقبة المحاصيل، وسو أنظمة ري ذكية، واعمل نماذج تتنبأ بإنتاج المحاصيل. اخلط حكمة الزراعة القديمة مع التقنية الحديثة!,This scenario combines traditional agriculture with modern technology.,"""سو"" for develop, ""اعمل"" for create",Player managing high-tech agricultural projects in Asir's challenging landscape.
"Assalamu alaikum, guardian of the past! Use VR technology to preserve and showcase Saudi Arabia's endangered historical sites. Create immersive experiences of ancient trade routes, recreate lost architectural wonders, and document traditional crafts. Make history come alive for future generations!",السلام عليكم، يا حامي الماضي! استخدم تقنية الواقع الافتراضي للحفاظ على المواقع التاريخية المهددة في المملكة العربية السعودية وعرضها. أنشئ تجارب غامرة لطرق التجارة القديمة، وأعد إنشاء الروائع المعمارية المفقودة، ووثق الحرف التقليدية. اجعل التاريخ حيًا للأجيال القادمة!,سلام عليكم، يا حامي الماضي! استخدم تقنية الواقع الافتراضي عشان تحافظ على المواقع التاريخية المهددة في السعودية وتعرضها. سو تجارب تخلي الناس يعيشون طرق التجارة القديمة، وأعد بناء الروائع المعمارية المفقودة، ووثق الحرف التقليدية. خل التاريخ يصير حي للأجيال الجاية!,This scenario uses modern technology to preserve cultural heritage.,"""سو"" for create, ""تخلي"" for make, ""الجاية"" for coming",Player using VR to preserve and showcase Saudi historical sites and traditions.
"Ahlan, nature-inspired inventor! Study the unique adaptations of Red Sea marine life to develop innovative solutions for human challenges. Create saltwater-tolerant building materials, design energy-efficient structures inspired by coral, and develop new medical treatments based on sea creatures. Let nature be your teacher!",أهلاً، أيها المخترع المستوحى من الطبيعة! ادرس التكيفات الفريدة للحياة البحرية في البحر الأحمر لتطوير حلول مبتكرة للتحديات البشرية. ابتكر مواد بناء متحملة للملوحة، وصمم هياكل موفرة للطاقة مستوحاة من المرجان، وطور علاجات طبية جديدة مستندة إلى الكائنات البحرية. دع الطبيعة تكون معلمتك!,أهلا، يا المخترع المستوحى من الطبيعة! ادرس التكيفات الفريدة للكائنات البحرية في البحر الأحمر عشان تطور حلول مبتكرة لمشاكل البشر. ابتكر مواد بناء تتحمل الملوحة، وصمم مباني موفرة للطاقة مستوحاة من المرجان، وطور علاجات طبية جديدة من الكائنات البحرية. خلي الطبيعة تكون أستاذك!,This scenario explores biomimicry inspired by Red Sea marine life.,"""عشان"" for to, ""خلي"" for let",Player developing innovative solutions inspired by Red Sea marine life.
"Marhaba, urban flow master! Develop an AI-driven traffic management system for the growing cities of the Eastern Province. Integrate self-driving vehicles, smart traffic lights, and predictive algorithms. Reduce congestion, minimize emissions, and improve urban mobility. Keep the city moving efficiently!",مرحبا، يا سيد التدفق الحضري! طور نظام إدارة مرور مدعوم بالذكاء الاصطناعي للمدن المتنامية في المنطقة الشرقية. ادمج المركبات ذاتية القيادة، وإشارات المرور الذكية، والخوارزميات التنبؤية. قلل الازدحام، وقلل الانبعاثات، وحسن التنقل الحضري. حافظ على كفاءة حركة المدينة!,مرحبتين، يا أستاذ حركة المدينة! طور نظام إدارة مرور يعتمد على الذكاء الاصطناعي للمدن اللي تكبر في المنطقة الشرقية. ادمج السيارات ذاتية القيادة، والإشارات الذكية، وخوارزميات التنبؤ. قلل الزحمة والتلوث، وحسن التنقل في المدينة. خل المدينة تتحرك بكفاءة!,This scenario tackles urban traffic management with AI.,"""اللي"" for that, ""زحمة"" for congestion, ""خل"" for keep",Player developing an AI-driven traffic management system for Eastern Province cities.
"Yalla, green building master! Revive traditional Asiri architecture using modern, eco-friendly materials and techniques. Design homes that stay cool naturally, harvest rainwater efficiently, and blend seamlessly with the mountain landscape. Prove that the wisdom of our ancestors can solve today's environmental challenges!",يلا، يا سيد البناء الأخضر! أحيِ العمارة العسيرية التقليدية باستخدام مواد وتقنيات حديثة وصديقة للبيئة. صمم منازل تبقى باردة بشكل طبيعي، وتجمع مياه الأمطار بكفاءة، وتندمج بسلاسة مع المناظر الطبيعية الجبلية. أثبت أن حكمة أجدادنا يمكن أن تحل تحديات البيئة اليوم!,يلا، يا أستاذ البناء الأخضر! جدد العمارة العسيرية القديمة باستخدام مواد وطرق حديثة وصديقة للبيئة. صمم بيوت تضل باردة بشكل طبيعي، وتجمع مية المطر بكفاءة، وتندمج مع شكل الجبال. أثبت إن حكمة جدودنا تقدر تحل مشاكل البيئة اليوم!,This scenario combines traditional architecture with modern eco-friendly practices.,"""تضل"" for stay, ""مية"" for water, ""جدودنا"" for our ancestors",Player reviving traditional Asiri architecture with eco-friendly modern techniques.
"Assalamu alaikum, quantum pioneer! Lead a team of researchers at King Abdulaziz City for Science and Technology. Develop quantum algorithms to solve complex problems in oil exploration, weather prediction, and cryptography. Push the boundaries of computing and put Saudi Arabia at the forefront of the quantum revolution!",السلام عليكم، يا رائد الكوانتم! قُد فريقًا من الباحثين في مدينة الملك عبد العزيز للعلوم والتقنية. طور خوارزميات كمية لحل مشكلات معقدة في استكشاف النفط والتنبؤ بالطقس والتشفير. ادفع حدود الحوسبة وضع المملكة العربية السعودية في طليعة الثورة الكمية!,سلام عليكم، يا رايد الكوانتم! قود فريق من الباحثين في مدينة الملك عبدالعزيز للعلوم والتقنية. طور خوارزميات كمية لحل مشاكل معقدة في التنقيب عن النفط وتوقعات الطقس والتشفير. وسع حدود الحوسبة وخل السعودية تكون في مقدمة الثورة الكمية!,This scenario focuses on cutting-edge quantum computing research.,"""رايد"" for pioneer, ""قود"" for lead, ""خل"" for make",Player leading a quantum computing research team in a prestigious Saudi institution.
"Ahlan wa sahlan, digital storyteller! Create augmented reality tours of Jeddah's historic Al-Balad district. Bring ancient coral-stone buildings to life, showcase the stories of old merchant families, and recreate bustling historical marketplaces. Make history interactive and exciting for the new generation!",أهلاً وسهلاً، يا راوي القصص الرقمي! أنشئ جولات واقع معزز لحي البلد التاريخي في جدة. أحيِ المباني القديمة المصنوعة من الحجر المرجاني، واعرض قصص العائلات التجارية القديمة، وأعد إنشاء الأسواق التاريخية المزدحمة. اجعل التاريخ تفاعليًا ومثيرًا للجيل الجديد!,أهلا وسهلا، يا راوي القصص الرقمي! سوي جولات واقع معزز لحي البلد القديم في جدة. خلي المباني القديمة المصنوعة من الحجر المرجاني تصير حية، وعرض قصص العيلات التجارية القديمة، وأعد خلق الأسواق التاريخية الزحمة. خلي التاريخ تفاعلي ومثير للجيل الجديد!,This scenario combines historical preservation with modern AR technology.,"""سوي"" for create, ""خلي"" for make, ""عيلات"" for families",Player creating augmented reality tours for Jeddah's historic district.
"Marhaba, water wizard! Develop next-generation desalination plants for the Eastern Province. Use renewable energy, implement advanced membrane technology, and create eco-friendly ways to manage brine. Ensure a sustainable water supply while protecting the Gulf's marine ecosystem. Every drop counts!",مرحبا، يا ساحر المياه! طور محطات تحلية من الجيل القادم للمنطقة الشرقية. استخدم الطاقة المتجددة، وطبق تكنولوجيا الأغشية المتقدمة، وابتكر طرقًا صديقة للبيئة لإدارة المحلول الملحي. اضمن إمدادًا مستدامًا للمياه مع حماية النظام البيئي البحري للخليج. كل قطرة مهمة!,مرحبتين، يا ساحر الماي! طور محطات تحلية متطورة للمنطقة الشرقية. استخدم الطاقة المتجددة، وطبق تقنية الأغشية المتطورة، وابتكر طرق صديقة للبيئة للتعامل مع الملح. اضمن توفير ماي بشكل مستدام مع حماية البيئة البحرية في الخليج. كل نقطة تفرق!,This scenario addresses water scarcity issues with innovative solutions.,"""ماي"" for water, ""تفرق"" for matters",Player developing sustainable desalination technologies for the Eastern Province.
"Yalla, green thumb technologist! Establish vertical farms in Asir's mountainous terrain. Utilize hydroponics, aeroponics, and smart lighting systems to grow crops year-round. Integrate traditional farming wisdom with cutting-edge technology. Feed the region while preserving its natural beauty!",يلا، يا تقني الزراعة الماهر! أنشئ مزارع عمودية في تضاريس عسير الجبلية. استخدم الزراعة المائية والهوائية وأنظمة الإضاءة الذكية لزراعة المحاصيل على مدار العام. ادمج حكمة الزراعة التقليدية مع التكنولوجيا المتطورة. أطعم المنطقة مع الحفاظ على جمالها الطبيعي!,يلا، يا تقني الزراعة الشاطر! سوي مزارع عمودية في جبال عسير. استخدم الزراعة المائية والهوائية وأنظمة الإضاءة الذكية لزراعة المحاصيل طول السنة. اخلط حكمة الزراعة القديمة مع التقنية الحديثة. وفر الأكل للمنطقة مع الحفاظ على جمالها الطبيعي!,This scenario combines traditional agriculture with modern vertical farming techniques.,"""شاطر"" for skilled, ""سوي"" for create, ""طول السنة"" for year-round",Player developing vertical farming solutions in Asir's mountainous region.
"As-salaam-alaikum, ethical technologist! Join the AI Ethics Committee at a leading Saudi tech company. Evaluate AI implementations in healthcare, finance, and government services. Ensure alignment with Islamic values and Saudi cultural norms. Shape the ethical framework for the Kingdom's AI-driven future!",السلام عليكم، أيها التقني الأخلاقي! انضم إلى لجنة أخلاقيات الذكاء الاصطناعي في شركة تقنية سعودية رائدة. قيّم تطبيقات الذكاء الاصطناعي في الرعاية الصحية والمالية والخدمات الحكومية. تأكد من توافقها مع القيم الإسلامية والأعراف الثقافية السعودية. شكل الإطار الأخلاقي لمستقبل المملكة المدعوم بالذكاء الاصطناعي!,سلام عليكم، يا التقني الأخلاقي! انضم للجنة أخلاقيات الذكاء الاصطناعي في شركة تقنية سعودية كبيرة. قيّم تطبيقات الذكاء الاصطناعي في الصحة والمالية والخدمات الحكومية. تأكد إنها تتوافق مع القيم الإسلامية والعادات السعودية. شكل الإطار الأخلاقي لمستقبل المملكة المعتمد على الذكاء الاصطناعي!,This scenario addresses ethical considerations in AI development within a Saudi context.,"""كبيرة"" for leading, ""إنها"" for that it",Player serving on an AI ethics committee in a major Saudi tech company.
"Marhaba, digital pilgrim guide! Develop a virtual reality Hajj training program. Create immersive simulations of Tawaf, Sa'i, and other rituals. Design interactive lessons on Hajj rules and etiquette. Help pilgrims from around the world prepare for their spiritual journey. Make the learning experience as enriching as the pilgrimage itself!",مرحبا، يا دليل الحجاج الرقمي! طور برنامج تدريب افتراضي للحج. أنشئ محاكاة غامرة للطواف والسعي والشعائر الأخرى. صمم دروسًا تفاعلية حول قواعد الحج وآدابه. ساعد الحجاج من جميع أنحاء العالم على الاستعداد لرحلتهم الروحية. اجعل تجربة التعلم غنية مثل الحج نفسه!,مرحبا، يا دليل الحجاج الرقمي! طور برنامج تدريب افتراضي للحج. سوي محاكاة تخلي الحجاج يعيشوا تجربة الطواف والسعي والشعائر التانية. صمم دروس تفاعلية عن قواعد الحج وآدابه. ساعد الحجاج من كل العالم يستعدوا لرحلتهم الروحية. خلي تجربة التعلم غنية زي الحج نفسه!,This scenario uses VR technology to prepare pilgrims for Hajj.,"""سوي"" for create, ""تخلي"" for make, ""زي"" for like",Player developing a VR Hajj training program for pilgrims worldwide.
"Ahlan, petro-tech genius! Implement AI and IoT solutions to optimize oil production in the Eastern Province. Use predictive maintenance, real-time monitoring, and smart drilling techniques. Maximize efficiency while minimizing environmental impact. Keep Saudi Arabia at the forefront of the global energy market!",أهلاً، يا عبقري التكنولوجيا البترولية! طبق حلول الذكاء الاصطناعي وإنترنت الأشياء لتحسين إنتاج النفط في المنطقة الشرقية. استخدم الصيانة التنبؤية والمراقبة في الوقت الفعلي وتقنيات الحفر الذكية. عظّم الكفاءة مع تقليل الأثر البيئي. حافظ على مكانة المملكة العربية السعودية في طليعة سوق الطاقة العالمي!,هلا، يا عبقري تقنية البترول! طبق حلول الذكاء الاصطناعي والإنترنت عشان تحسن إنتاج النفط في المنطقة الشرقية. استخدم الصيانة التنبؤية والمراقبة اللحظية وتقنيات الحفر الذكية. زود الكفاءة وقلل الأثر البيئي. خل السعودية تضل في مقدمة سوق الطاقة العالمي!,This scenario focuses on applying advanced technology to traditional oil industries.,"""عشان"" for to, ""زود"" for increase, ""تضل"" for remain",Player optimizing oil production using AI and IoT in Eastern Province oil fields.
"Yalla, adventure architect! Create thrilling eco-tourism experiences in Asir National Park. Design zip-line courses through ancient juniper forests, plan wildlife photography safaris, and develop sustainable mountain lodges. Showcase the region's natural wonders while preserving its delicate ecosystem. Make Asir the eco-adventure capital of the Middle East!",يلا، يا مهندس المغامرات! ابتكر تجارب سياحة بيئية مثيرة في منتزه عسير الوطني. صمم مسارات التلفريك عبر غابات العرعر القديمة، وخطط لرحلات سفاري تصوير الحياة البرية، وطور نزل جبلية مستدامة. اعرض عجائب المنطقة الطبيعية مع الحفاظ على نظامها البيئي الحساس. اجعل عسير عاصمة المغامرات البيئية في الشرق الأوسط!,يلا، يا مهندس المغامرات! ابتكر تجارب سياحة بيئية مثيرة في منتزه عسير الوطني. صمم مسارات الزيب لاين في غابات العرعر القديمة، وخطط لرحلات تصوير الحيوانات البرية، وطور فنادق جبلية مستدامة. ورّي عجايب المنطقة الطبيعية مع الحفاظ على بيئتها الحساسة!,This scenario promotes eco-tourism while preserving natural ecosystems.,"""زيب لاين"" for zip-line, ""ورّي"" for show, ""بيئتها الحساسة"" for delicate ecosystem",Player designing eco-tourism adventures in Asir National Park.
"As-salaam-alaikum, military historian! Analyze the strategies used in the historic Battle of Wadī al-Ṣafra. Plan troop movements, manage resources, and make crucial decisions that shaped Saudi history. Learn from the past to understand the importance of diplomacy and peace in our modern world.",السلام عليكم، أيها المؤرخ العسكري! حلل الاستراتيجيات المستخدمة في معركة وادي الصفراء التاريخية. خطط لتحركات القوات، وأدر الموارد، واتخذ القرارات الحاسمة التي شكلت تاريخ السعودية. تعلم من الماضي لفهم أهمية الدبلوماسية والسلام في عالمنا الحديث.,سلام عليكم، يا المؤرخ العسكري! حلل الخطط المستخدمة في معركة وادي الصفراء التاريخية. خطط لتحركات الجنود، ودير الموارد، واتخذ القرارات المهمة اللي شكلت تاريخ السعودية. تعلم من الماضي عشان تفهم أهمية الدبلوماسية والسلام في عالمنا الحالي.,This scenario focuses on historical analysis rather than active combat.,"""دير"" for manage, ""عشان"" for to",Player analyzing historical battle strategies to learn about diplomacy and peace.
"Welcome, diplomatic peacekeeper! Coordinate a UN peacekeeping mission in a conflict zone. Manage international troops, negotiate with local leaders, and provide humanitarian aid. Your goal is to stabilize the region and protect civilians. Remember, true victory comes through peace, not conflict.",مرحبًا، أيها الدبلوماسي حافظ السلام! نسق بعثة حفظ سلام تابعة للأمم المتحدة في منطقة نزاع. أدر القوات الدولية، وتفاوض مع القادة المحليين، وقدم المساعدات الإنسانية. هدفك هو تحقيق الاستقرار في المنطقة وحماية المدنيين. تذكر، النصر الحقيقي يأتي من خلال السلام، وليس الصراع.,أهلا، يا الدبلوماسي حافظ السلام! نسق بعثة حفظ سلام تابعة للأمم المتحدة في منطقة حرب. دير القوات الدولية، واتفاوض مع القادة المحليين، وقدم المساعدات الإنسانية. هدفك تحقق الاستقرار في المنطقة وتحمي المدنيين. افتكر، النصر الحقيقي بيجي من السلام، مش من الحرب.,This scenario focuses on peacekeeping and conflict resolution.,"""دير"" for manage, ""بيجي"" for comes, ""مش"" for not",Player coordinating peacekeeping efforts in a conflict zone.
"Attention, cyber guardian! Protect the Kingdom's critical infrastructure from digital threats. Monitor network activity, deploy firewalls, and counter cyber attacks. Your mission is to safeguard our nation's digital assets without causing harm. Remember, in cyberspace, defense is the best offense.",انتباه، يا حارس الفضاء الإلكتروني! احمِ البنية التحتية الحيوية للمملكة من التهديدات الرقمية. راقب نشاط الشبكة، ونشر جدران الحماية، وتصدى للهجمات الإلكترونية. مهمتك هي حماية أصول بلادنا الرقمية دون التسبب في أذى. تذكر، في الفضاء الإلكتروني، الدفاع هو أفضل هجوم.,انتبه، يا حارس الفضاء الإلكتروني! احمي البنية التحتية المهمة للمملكة من الخطر الرقمي. راقب نشاط الشبكة، وحط جدران الحماية، وواجه الهجمات الإلكترونية. مهمتك تحمي أصول بلادنا الرقمية بدون ما تسبب أذى. تذكر، في الفضاء الإلكتروني، الدفاع هو أحسن هجوم.,This scenario focuses on defensive cybersecurity measures.,"""حط"" for deploy, ""بدون ما"" for without",Player defending national digital infrastructure from cyber threats.
"Assalamu alaikum, border guardian! Manage security operations along the southern border. Use surveillance technology, coordinate patrols, and facilitate safe, legal border crossings. Your mission is to maintain security while treating all individuals with dignity and respect. Protect the nation through vigilance and compassion.",السلام عليكم، يا حارس الحدود! أدر عمليات الأمن على طول الحدود الجنوبية. استخدم تكنولوجيا المراقبة، ونسق الدوريات، وسهل عمليات عبور الحدود الآمنة والقانونية. مهمتك هي الحفاظ على الأمن مع معاملة جميع الأفراد بكرامة واحترام. احمِ الوطن من خلال اليقظة والتعاطف.,سلام عليكم، يا حارس الحدود! دير عمليات الأمن على طول الحدود الجنوبية. استخدم تقنية المراقبة، ونسق الدوريات، وسهل عبور الحدود الآمن والقانوني. مهمتك تحافظ على الأمن وتعامل كل الناس بكرامة واحترام. احمي الوطن باليقظة والتعاطف.,This scenario emphasizes border security with a focus on human rights.,"""دير"" for manage, ""تقنية"" for technology",Player managing border security operations with emphasis on ethical treatment.
"Ahlan, keeper of history! Design interactive exhibits for the National Military Museum. Showcase the evolution of warfare technology, highlight stories of bravery, and emphasize the human cost of conflict. Your goal is to educate visitors about the past while promoting the value of peace in the present.",أهلاً، يا حافظ التاريخ! صمم معارض تفاعلية للمتحف العسكري الوطني. اعرض تطور تكنولوجيا الحرب، وسلط الضوء على قصص الشجاعة، وأكد على التكلفة البشرية للصراع. هدفك هو تثقيف الزوار حول الماضي مع تعزيز قيمة السلام في الحاضر.,هلا، يا حافظ التاريخ! صمم معارض تفاعلية للمتحف العسكري الوطني. اعرض تطور تقنيات الحرب، وبرز قصص الشجاعة، وأكد على الخسائر البشرية للحرب. هدفك تثقف الزوار عن الماضي وتعزز قيمة السلام في الوقت الحالي.,This scenario focuses on educational aspects of military history.,"""برز"" for highlight, ""تثقف"" for educate",Player designing educational exhibits about warfare history and the importance of peace.
"Yalla, football mastermind! Take charge of a Saudi Pro League team. Scout talented players, develop youth academies, and devise winning strategies. Navigate the challenges of transfer seasons, derby matches, and qualification for the AFC Champions League. Lead your team to glory and make Saudi football shine on the world stage!",يلا، يا عبقري كرة القدم! تولَّ إدارة فريق في الدوري السعودي للمحترفين. ابحث عن اللاعبين الموهوبين، وطور أكاديميات الشباب، وضع استراتيجيات الفوز. تعامل مع تحديات مواسم الانتقالات، ومباريات الديربي، والتأهل لدوري أبطال آسيا. قُد فريقك إلى المجد واجعل كرة القدم السعودية تتألق على المسرح العالمي!,يلا، يا عبقري الكورة! تولى إدارة فريق في الدوري السعودي. دور على اللاعبين الموهوبين، وطور أكاديميات الناشئين، وحط خطط الفوز. تعامل مع تحديات فترات الانتقالات، ومباريات الديربي، والتأهل لدوري أبطال آسيا. قود فريقك للمجد وخل الكورة السعودية تلمع على المستوى العالمي!,This scenario focuses on managing a professional football team in Saudi Arabia.,"""الكورة"" for football, ""دور على"" for scout, ""خل"" for make",Player managing a Saudi Pro League football team.
"Ahlan, future football legend! Rise from the streets of Jeddah to become a national superstar. Master fancy footwork, challenge local champions, and compete in beachside tournaments. Customize your player with the latest street fashion and signature moves. Show the world the flair and passion of Saudi street football!",أهلاً، يا أسطورة كرة القدم المستقبلية! انطلق من شوارع جدة لتصبح نجمًا وطنيًا. أتقن المهارات الفنية، وتحدَّ الأبطال المحليين، وشارك في البطولات الشاطئية. خصص لاعبك بأحدث صيحات الموضة الشارعية والحركات المميزة. أظهر للعالم أناقة وشغف كرة القدم الشارعية السعودية!,أهلا، يا أسطورة الكورة الجاية! ابدأ من شوارع جدة وصير نجم وطني. اتقن الحركات الفنية، تحدى الأبطال المحليين، وشارك في بطولات الشاطئ. صمم لاعبك بأحدث موضة الشارع والحركات المميزة. ورّي العالم ستايل وشغف كورة الشارع السعودية!,This scenario focuses on street football culture in Jeddah.,"""الكورة"" for football, ""صير"" for become, ""ورّي"" for show",Player developing a street football star in Jeddah.
